HOSPITAL NAME,CITY,AREA,ADDRESS,DOCTORS,CONTACT,Lat,Long,Google Map Link
14/7 Avenue Hospital,Hyderabad,0,"14/7 Avenue Hospital, 7 Civil Lines, Civil Lines, Hyderabad",1,042-32591432,,,https://www.google.com/maps/search/?api=1&query=14%2F7+Avenue+Hospital%2C+7+Civil+Lines%2C+Civil+Lines%2C+Hyderabad
Bone & Joint Hospital,Hyderabad,0,"Bone & Joint Hospital, Besides Ok Roll Point, Autobhan Road, Hyderabad",1,4232591427,,,https://www.google.com/maps/search/?api=1&query=Bone+%26+Joint+Hospital%2C+Besides+Ok+Roll+Point%2C+Autobhan+Road%2C+Hyderabad
Dar Ul Khair Dental Clinic,Hyderabad,0,"Dar Ul Khair Dental Clinic, Shop No.2, Magfi Plaza, Gulistan E Sajjad, Qasimabad, Hyderabad, Qasimabad, Hyderabad",-,3363018198,,,https://www.google.com/maps/search/?api=1&query=Dar+Ul+Khair+Dental+Clinic%2C+Shop+No.2%2C+Magfi+Plaza%2C+Gulistan+E+Sajjad%2C+Qasimabad%2C+Hyderabad%2C+Qasimabad%2C+Hyderabad
Data Medicare Hospital,Hyderabad,0,"Data Medicare Hospital, Besides Faysal Bank Wadhu Wah Road, Qasimabad, Hyderabad",1,3342121125,,,https://www.google.com/maps/search/?api=1&query=Data+Medicare+Hospital%2C+Besides+Faysal+Bank+Wadhu+Wah+Road%2C+Qasimabad%2C+Hyderabad
Dental & Implant Care Center,Hyderabad,0,"Dental & Implant Care Center, Main Airport Road,Near Surgi Care Hospital, Latifabad Unit # 6, Hyderabad",1,0300 3034383,,,https://www.google.com/maps/search/?api=1&query=Dental+%26+Implant+Care+Center%2C+Main+Airport+Road%2CNear+Surgi+Care+Hospital%2C+Latifabad+Unit+%23+6%2C+Hyderabad
Dentovilla Esthetic Center,Hyderabad,0,"Dentovilla Esthetic Center, Fatima Heights, Chamber 24 , Mezzanine Floor, Doctors Colony, Hyderabad",2,3342192454,,,https://www.google.com/maps/search/?api=1&query=Dentovilla+Esthetic+Center%2C+Fatima+Heights%2C+Chamber+24+%2C+Mezzanine+Floor%2C+Doctors+Colony%2C+Hyderabad
Dr Najeeb Burhoi Memorial Dental Clinic,Hyderabad,0,"Dr Najeeb Burhoi Memorial Dental Clinic, Opposite Red Cresent Hospital, Unit 06, Unit 06, Hyderabad",-,3110377656,,,https://www.google.com/maps/search/?api=1&query=Dr+Najeeb+Burhoi+Memorial+Dental+Clinic%2C+Opposite+Red+Cresent+Hospital%2C+Unit+06%2C+Unit+06%2C+Hyderabad
Dr. Asma Hassan Clinic,Hyderabad,0,"Dr. Asma Hassan Clinic, Outside Hilal E Ahmer Hospital, Latifabad Unit # 6, Hyderabad",1,3332521518,,,https://www.google.com/maps/search/?api=1&query=Dr.+Asma+Hassan+Clinic%2C+Outside+Hilal+E+Ahmer+Hospital%2C+Latifabad+Unit+%23+6%2C+Hyderabad
Fatima Dental Care Clinic,Hyderabad,0,"Fatima Dental Care Clinic, Chamber No 13 Mezanine Floor Fatima Heights Plaza Saddar Cmh Road Hyderabad, Mezzanine, Hyderabad",2,3023367367,,,https://www.google.com/maps/search/?api=1&query=Fatima+Dental+Care%C2%A0Clinic%2C+Chamber+No+13+Mezanine+Floor+Fatima+Heights+Plaza+Saddar+Cmh%C2%A0Road%C2%A0Hyderabad%2C+Mezzanine%2C+Hyderabad
Hasan X Ray Hospital,Hyderabad,0,"Hasan X Ray Hospital, Near Hillal E Ahmar Hospital Unit No 6, Hyderabad, Hyderabad",-,3323477916,,,https://www.google.com/maps/search/?api=1&query=Hasan+X+Ray+Hospital%2C+Near+Hillal+E+Ahmar+Hospital+Unit+No+6%2C+Hyderabad%2C+Hyderabad
